name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),city,year
Restaurant_50,No,Yes,3.2,2338,2536,Casual Dining,Hyderabad,2024
Restaurant_51,No,No,4.0,2741,3814,Buffet,Mumbai,2023
Restaurant_52,Yes,No,2.7,837,697,Fine Dining,Pune,2020
Restaurant_53,No,Yes,2.3,440,4017,Casual Dining,Hyderabad,2021
Restaurant_54,Yes,Yes,4.3,1073,4843,Buffet,Bangalore,2024
Restaurant_55,Yes,Yes,3.9,1719,331,Buffet,Chennai,2021
Restaurant_56,No,No,5.0,1244,1057,Quick Bites,Chennai,2025
Restaurant_57,Yes,No,3.0,311,720,Quick Bites,Kolkata,2018
Restaurant_58,No,Yes,2.2,1430,229,Quick Bites,Delhi,2020
Restaurant_59,Yes,Yes,4.2,4638,3596,Casual Dining,Bangalore,2022
Restaurant_60,No,Yes,3.6,778,4804,Casual Dining,Kolkata,2020
Restaurant_61,Yes,No,2.6,1414,1460,Fine Dining,Bangalore,2024
Restaurant_62,Yes,No,4.3,453,1758,Quick Bites,Delhi,2022
Restaurant_63,No,Yes,2.6,3114,215,Buffet,Hyderabad,2018
Restaurant_64,No,No,2.8,4365,3805,Café,Hyderabad,2024
Restaurant_65,Yes,Yes,2.3,3315,1807,Fine Dining,Chennai,2019
Restaurant_66,Yes,No,3.2,1548,3717,Casual Dining,Hyderabad,2021
Restaurant_67,No,No,3.3,3940,2216,Fine Dining,Hyderabad,2018
Restaurant_68,Yes,No,3.5,1341,3774,Fine Dining,Mumbai,2021
Restaurant_69,No,No,4.1,79,1943,Fine Dining,Chennai,2023
Restaurant_70,Yes,Yes,4.7,3445,3991,Fine Dining,Kolkata,2019
Restaurant_71,No,No,2.4,490,3834,Café,Pune,2019
Restaurant_72,Yes,No,2.2,4104,1288,Quick Bites,Mumbai,2018
Restaurant_73,No,Yes,2.1,3506,1561,Buffet,Kolkata,2019
Restaurant_74,No,No,2.4,2803,3572,Fine Dining,Delhi,2022
Restaurant_75,Yes,Yes,4.0,2902,4673,Fine Dining,Mumbai,2019
Restaurant_76,No,Yes,4.2,1208,675,Fine Dining,Kolkata,2021
Restaurant_77,Yes,No,4.4,2382,1489,Quick Bites,Delhi,2021
Restaurant_78,No,No,2.7,1902,528,Casual Dining,Chennai,2024
Restaurant_79,No,Yes,2.9,1893,4244,Casual Dining,Pune,2021
Restaurant_80,No,Yes,3.4,807,2039,Café,Delhi,2024
Restaurant_81,Yes,Yes,2.2,27,1386,Casual Dining,Hyderabad,2021
Restaurant_82,No,No,3.8,53,4733,Fine Dining,Bangalore,2022
Restaurant_83,Yes,Yes,5.0,164,3614,Fine Dining,Delhi,2025
Restaurant_84,No,Yes,3.1,4972,3736,Fine Dining,Delhi,2024
Restaurant_85,Yes,Yes,4.3,3458,1973,Café,Pune,2020
Restaurant_86,Yes,No,3.5,4848,2263,Fine Dining,Bangalore,2023
Restaurant_87,Yes,Yes,2.4,4090,2044,Casual Dining,Hyderabad,2018
Restaurant_88,No,No,3.7,1435,2758,Quick Bites,Kolkata,2021
Restaurant_89,Yes,No,2.9,4330,1462,Quick Bites,Kolkata,2019
Restaurant_90,No,Yes,2.1,4322,3491,Buffet,Delhi,2025
Restaurant_91,Yes,No,3.9,3649,1218,Casual Dining,Bangalore,2021
Restaurant_92,Yes,Yes,4.6,4136,1989,Fine Dining,Bangalore,2019
Restaurant_93,Yes,No,3.0,1902,3724,Quick Bites,Hyderabad,2023
Restaurant_94,Yes,No,3.2,907,3704,Casual Dining,Pune,2023
Restaurant_95,No,Yes,4.7,3434,1006,Quick Bites,Chennai,2023
Restaurant_96,Yes,Yes,4.4,4550,2866,Fine Dining,Kolkata,2019
Restaurant_97,Yes,Yes,4.1,1268,604,Quick Bites,Pune,2021
Restaurant_98,No,No,2.7,2025,793,Buffet,Mumbai,2023
Restaurant_99,Yes,No,4.7,4843,4149,Buffet,Kolkata,2022
Restaurant_100,Yes,Yes,2.5,1712,4307,Quick Bites,Pune,2024
Restaurant_101,Yes,Yes,3.9,883,3480,Casual Dining,Kolkata,2019
Restaurant_102,Yes,No,2.1,575,2412,Casual Dining,Chennai,2019
Restaurant_103,No,No,3.9,2028,1742,Casual Dining,Mumbai,2021
Restaurant_104,No,No,2.8,1895,813,Quick Bites,Chennai,2019
Restaurant_105,Yes,Yes,3.3,2133,1068,Casual Dining,Hyderabad,2019
Restaurant_106,No,No,3.0,4652,1011,Fine Dining,Mumbai,2023
Restaurant_107,No,Yes,2.5,2324,2022,Buffet,Delhi,2021
Restaurant_108,Yes,No,3.9,4422,4377,Fine Dining,Pune,2023
Restaurant_109,No,No,4.6,3893,1944,Casual Dining,Mumbai,2024
Restaurant_110,Yes,Yes,4.9,3202,2456,Fine Dining,Hyderabad,2025
Restaurant_111,No,Yes,2.6,1869,4242,Casual Dining,Hyderabad,2024
Restaurant_112,No,Yes,4.2,34,3867,Quick Bites,Chennai,2025
Restaurant_113,No,No,4.0,3513,721,Fine Dining,Kolkata,2023
Restaurant_114,Yes,No,3.0,4265,1725,Quick Bites,Mumbai,2024
Restaurant_115,No,No,2.1,1147,1669,Quick Bites,Pune,2021
Restaurant_116,Yes,Yes,4.1,1199,2875,Café,Mumbai,2018
Restaurant_117,Yes,No,4.8,4808,1713,Casual Dining,Bangalore,2023
Restaurant_118,No,Yes,3.9,4106,1651,Buffet,Kolkata,2025
Restaurant_119,Yes,Yes,3.3,3167,4854,Casual Dining,Pune,2022
Restaurant_120,No,Yes,3.6,2377,3630,Buffet,Pune,2025
Restaurant_121,Yes,No,2.6,4487,3207,Casual Dining,Delhi,2022
Restaurant_122,Yes,No,4.3,1751,3324,Quick Bites,Chennai,2019
Restaurant_123,No,Yes,4.2,3698,1953,Fine Dining,Delhi,2024
Restaurant_124,No,No,2.4,3756,1812,Fine Dining,Pune,2022
Restaurant_125,No,Yes,4.6,907,3475,Café,Kolkata,2025
Restaurant_126,No,Yes,2.8,4033,755,Buffet,Mumbai,2019
Restaurant_127,Yes,No,4.9,726,4451,Buffet,Mumbai,2018
Restaurant_128,Yes,Yes,3.1,3977,2249,Buffet,Kolkata,2021
Restaurant_129,Yes,Yes,2.5,4031,1024,Quick Bites,Pune,2021
Restaurant_130,No,No,3.1,3225,3049,Buffet,Hyderabad,2021
Restaurant_131,Yes,Yes,3.3,400,3230,Fine Dining,Mumbai,2022
Restaurant_132,No,Yes,2.2,3894,1281,Quick Bites,Hyderabad,2018
Restaurant_133,Yes,Yes,3.7,1709,3525,Casual Dining,Mumbai,2022
Restaurant_134,No,Yes,3.8,3047,692,Buffet,Mumbai,2024
Restaurant_135,Yes,Yes,4.2,242,4964,Buffet,Chennai,2022
Restaurant_136,Yes,Yes,2.1,1936,274,Casual Dining,Chennai,2018
Restaurant_137,No,Yes,3.6,3141,3191,Buffet,Bangalore,2018
Restaurant_138,Yes,No,2.2,3316,3560,Casual Dining,Delhi,2024
Restaurant_139,No,No,4.1,2734,570,Quick Bites,Kolkata,2018
Restaurant_140,Yes,Yes,2.2,4811,4882,Fine Dining,Kolkata,2025
Restaurant_141,Yes,Yes,4.7,243,528,Casual Dining,Kolkata,2018
Restaurant_142,No,No,4.1,1401,4885,Café,Bangalore,2021
Restaurant_143,No,No,3.5,2902,1990,Casual Dining,Chennai,2025
Restaurant_144,Yes,No,3.3,1265,976,Buffet,Pune,2025
Restaurant_145,Yes,No,2.4,2548,2222,Quick Bites,Hyderabad,2024
Restaurant_146,Yes,No,2.9,3700,4874,Quick Bites,Hyderabad,2020
Restaurant_147,Yes,Yes,4.6,899,4516,Casual Dining,Pune,2020
Restaurant_148,Yes,No,4.7,4697,1387,Fine Dining,Bangalore,2018
Restaurant_149,Yes,No,2.0,755,1703,Café,Pune,2025
Restaurant_150,No,No,3.8,1729,3491,Quick Bites,Kolkata,2020
Restaurant_151,No,Yes,4.2,437,3525,Buffet,Delhi,2020
Restaurant_152,No,Yes,3.9,741,387,Buffet,Mumbai,2018
Restaurant_153,Yes,Yes,2.2,809,1414,Fine Dining,Hyderabad,2020
Restaurant_154,Yes,Yes,2.7,4307,3486,Quick Bites,Chennai,2022
Restaurant_155,Yes,Yes,2.8,845,3646,Casual Dining,Chennai,2019
Restaurant_156,No,Yes,4.5,144,1309,Buffet,Bangalore,2024
Restaurant_157,No,No,3.4,2548,2721,Fine Dining,Chennai,2019
Restaurant_158,Yes,Yes,3.5,3728,4079,Quick Bites,Kolkata,2018
Restaurant_159,Yes,Yes,4.8,50,730,Quick Bites,Hyderabad,2021
Restaurant_160,No,No,3.9,3377,1270,Quick Bites,Pune,2024
Restaurant_161,No,Yes,4.7,2425,3336,Quick Bites,Kolkata,2018
Restaurant_162,No,No,3.4,2050,1162,Quick Bites,Bangalore,2025
Restaurant_163,Yes,No,2.4,4349,1605,Buffet,Kolkata,2021
Restaurant_164,Yes,Yes,4.8,2959,3337,Fine Dining,Pune,2019
Restaurant_165,Yes,No,3.4,4271,716,Quick Bites,Delhi,2018
Restaurant_166,No,No,2.5,3476,3364,Café,Bangalore,2025
Restaurant_167,No,No,2.9,3098,1691,Café,Delhi,2024
Restaurant_168,Yes,No,2.2,4833,3889,Fine Dining,Mumbai,2024
Restaurant_169,Yes,Yes,3.4,1125,4428,Casual Dining,Delhi,2023
Restaurant_170,No,No,4.6,4588,4609,Casual Dining,Mumbai,2025
Restaurant_171,Yes,Yes,4.8,2600,790,Casual Dining,Mumbai,2022
Restaurant_172,No,No,4.8,3583,1743,Café,Delhi,2020
Restaurant_173,No,No,2.4,2988,3256,Casual Dining,Bangalore,2021
Restaurant_174,Yes,No,3.1,2457,2406,Buffet,Pune,2025
Restaurant_175,No,Yes,2.1,1240,3539,Quick Bites,Kolkata,2023
Restaurant_176,Yes,Yes,4.6,2676,2908,Café,Kolkata,2020
Restaurant_177,No,Yes,3.1,4985,4229,Fine Dining,Pune,2020
Restaurant_178,No,No,3.9,4935,947,Fine Dining,Hyderabad,2018
Restaurant_179,Yes,No,4.1,4864,1000,Quick Bites,Hyderabad,2020
Restaurant_180,No,No,3.3,4268,1697,Café,Mumbai,2022
Restaurant_181,Yes,No,2.9,2604,1579,Casual Dining,Mumbai,2024
Restaurant_182,Yes,Yes,4.9,3440,879,Casual Dining,Bangalore,2023
Restaurant_183,No,No,4.9,2927,3970,Buffet,Chennai,2020
Restaurant_184,Yes,Yes,2.9,2962,3542,Buffet,Delhi,2018
Restaurant_185,Yes,No,3.4,2005,1096,Casual Dining,Mumbai,2022
Restaurant_186,Yes,Yes,4.9,3901,1746,Fine Dining,Kolkata,2019
Restaurant_187,Yes,Yes,2.0,316,3326,Fine Dining,Bangalore,2024
Restaurant_188,Yes,No,3.2,1372,883,Buffet,Delhi,2024
Restaurant_189,Yes,No,2.3,2112,1495,Quick Bites,Bangalore,2023
Restaurant_190,No,Yes,3.5,3040,1585,Casual Dining,Delhi,2024
Restaurant_191,Yes,No,2.1,342,1142,Buffet,Delhi,2020
Restaurant_192,No,No,3.2,2762,3480,Buffet,Pune,2018
Restaurant_193,No,Yes,2.7,252,1233,Casual Dining,Mumbai,2024
Restaurant_194,Yes,Yes,3.6,1894,2986,Casual Dining,Bangalore,2024
Restaurant_195,No,Yes,5.0,1442,2433,Fine Dining,Bangalore,2019
Restaurant_196,No,Yes,4.4,2560,3845,Quick Bites,Pune,2019
Restaurant_197,Yes,No,4.5,312,1820,Quick Bites,Kolkata,2021
Restaurant_198,Yes,Yes,3.9,4340,3735,Casual Dining,Kolkata,2022
Restaurant_199,Yes,Yes,2.1,3119,3405,Café,Hyderabad,2020
Restaurant_200,No,Yes,2.6,2196,3082,Buffet,Mumbai,2024
Restaurant_201,No,No,4.8,4300,370,Buffet,Mumbai,2025
Restaurant_202,Yes,Yes,3.1,1560,1753,Casual Dining,Chennai,2024
Restaurant_203,Yes,No,2.3,1802,4097,Café,Pune,2018
Restaurant_204,No,Yes,4.1,656,1795,Fine Dining,Kolkata,2021
Restaurant_205,No,Yes,2.9,4666,1823,Casual Dining,Delhi,2022
Restaurant_206,No,No,2.8,722,4322,Casual Dining,Bangalore,2025
Restaurant_207,No,Yes,5.0,4518,1291,Buffet,Mumbai,2021
Restaurant_208,Yes,Yes,4.6,547,3037,Casual Dining,Bangalore,2023
Restaurant_209,No,No,3.2,244,607,Casual Dining,Bangalore,2022
Restaurant_210,No,Yes,4.9,2406,4369,Casual Dining,Chennai,2024
Restaurant_211,No,Yes,4.0,1514,879,Buffet,Kolkata,2024
Restaurant_212,No,Yes,4.2,1384,436,Fine Dining,Mumbai,2022
Restaurant_213,Yes,Yes,2.1,4521,2974,Fine Dining,Bangalore,2024
Restaurant_214,Yes,No,2.4,1919,3637,Casual Dining,Mumbai,2020
Restaurant_215,No,Yes,3.9,925,3557,Buffet,Delhi,2022
Restaurant_216,No,No,4.7,3968,3077,Fine Dining,Chennai,2021
Restaurant_217,Yes,Yes,3.9,90,2623,Fine Dining,Delhi,2022
Restaurant_218,Yes,No,2.4,2093,4914,Fine Dining,Mumbai,2025
Restaurant_219,No,Yes,2.3,2698,3347,Buffet,Hyderabad,2024
Restaurant_220,No,No,4.5,1700,1232,Buffet,Mumbai,2020
Restaurant_221,Yes,Yes,2.4,766,3054,Casual Dining,Kolkata,2020
Restaurant_222,Yes,No,3.6,2680,3140,Quick Bites,Bangalore,2023
Restaurant_223,Yes,No,2.1,3761,3901,Fine Dining,Bangalore,2021
Restaurant_224,Yes,Yes,2.2,3562,4270,Quick Bites,Delhi,2019
Restaurant_225,Yes,No,4.0,477,3332,Buffet,Chennai,2019
Restaurant_226,Yes,Yes,4.1,1504,3660,Buffet,Hyderabad,2022
Restaurant_227,No,Yes,3.0,1029,2123,Buffet,Pune,2023
Restaurant_228,Yes,Yes,2.6,911,833,Quick Bites,Bangalore,2018
Restaurant_229,Yes,Yes,4.4,682,4303,Buffet,Kolkata,2022
Restaurant_230,Yes,Yes,2.7,448,1592,Casual Dining,Delhi,2023
Restaurant_231,Yes,No,3.6,4232,3646,Buffet,Delhi,2021
Restaurant_232,No,Yes,4.9,2086,3298,Café,Pune,2021
Restaurant_233,No,Yes,2.4,454,261,Quick Bites,Kolkata,2021
Restaurant_234,Yes,Yes,4.8,975,2669,Café,Chennai,2021
Restaurant_235,No,Yes,2.5,3800,2017,Buffet,Kolkata,2021
Restaurant_236,No,Yes,3.7,473,832,Casual Dining,Chennai,2023
Restaurant_237,No,Yes,3.1,2208,2798,Fine Dining,Kolkata,2023
Restaurant_238,No,No,4.9,2297,3651,Buffet,Kolkata,2020
Restaurant_239,No,No,2.8,3775,1500,Casual Dining,Mumbai,2025
Restaurant_240,No,Yes,3.2,3186,2853,Quick Bites,Delhi,2019
Restaurant_241,Yes,No,4.9,4018,1654,Café,Kolkata,2024
Restaurant_242,Yes,Yes,3.6,3514,1338,Café,Pune,2021
Restaurant_243,Yes,Yes,3.5,922,3392,Café,Kolkata,2018
Restaurant_244,Yes,Yes,2.8,506,4820,Quick Bites,Bangalore,2024
Restaurant_245,Yes,Yes,4.1,1473,2410,Casual Dining,Delhi,2023
Restaurant_246,No,Yes,2.0,4263,3959,Quick Bites,Bangalore,2018
Restaurant_247,Yes,No,2.1,4277,3229,Café,Delhi,2018
Restaurant_248,Yes,No,3.8,503,1560,Buffet,Bangalore,2018
Restaurant_249,No,No,3.0,1436,2626,Fine Dining,Kolkata,2020
Restaurant_250,No,No,4.9,1702,4468,Quick Bites,Kolkata,2023
Restaurant_251,Yes,Yes,4.7,1803,263,Quick Bites,Mumbai,2018
Restaurant_252,No,No,4.1,2733,1545,Casual Dining,Pune,2021
Restaurant_253,No,Yes,4.5,668,1174,Casual Dining,Bangalore,2022
Restaurant_254,No,No,4.0,4771,4361,Quick Bites,Chennai,2018
Restaurant_255,No,No,2.4,4472,3828,Café,Mumbai,2020
Restaurant_256,Yes,No,4.3,559,1822,Fine Dining,Bangalore,2024
Restaurant_257,No,No,2.6,652,657,Casual Dining,Bangalore,2023
Restaurant_258,Yes,Yes,3.0,4360,3530,Café,Mumbai,2025
Restaurant_259,Yes,No,4.5,217,1940,Buffet,Kolkata,2020
Restaurant_260,No,No,3.6,2507,3226,Casual Dining,Bangalore,2018
Restaurant_261,No,Yes,4.6,4200,2154,Café,Kolkata,2023
Restaurant_262,No,Yes,2.6,1893,479,Café,Mumbai,2022
Restaurant_263,Yes,No,3.8,2896,2591,Fine Dining,Kolkata,2018
Restaurant_264,No,Yes,2.3,487,1240,Fine Dining,Delhi,2020
Restaurant_265,No,Yes,3.9,771,1161,Buffet,Chennai,2019
Restaurant_266,No,Yes,4.3,199,4045,Café,Hyderabad,2021
Restaurant_267,No,No,3.8,765,1417,Café,Bangalore,2025
Restaurant_268,No,Yes,2.8,1456,3420,Fine Dining,Pune,2024
Restaurant_269,Yes,No,2.1,4941,574,Casual Dining,Chennai,2020
Restaurant_270,No,No,2.4,1673,4330,Casual Dining,Hyderabad,2023
Restaurant_271,No,No,3.9,1845,1592,Quick Bites,Kolkata,2025
Restaurant_272,No,No,4.8,4238,2276,Fine Dining,Bangalore,2025
Restaurant_273,Yes,Yes,2.6,4160,974,Quick Bites,Kolkata,2025
Restaurant_274,No,No,4.2,4070,4516,Fine Dining,Delhi,2018
Restaurant_275,Yes,Yes,4.6,4615,3624,Buffet,Mumbai,2021
Restaurant_276,Yes,No,3.6,4775,2323,Café,Bangalore,2018
Restaurant_277,No,Yes,4.0,3622,4789,Buffet,Hyderabad,2023
Restaurant_278,No,No,4.4,1699,3793,Fine Dining,Hyderabad,2018
Restaurant_279,No,Yes,2.8,1326,479,Café,Delhi,2019
Restaurant_280,Yes,No,2.9,4839,3011,Casual Dining,Delhi,2021
Restaurant_281,Yes,No,2.0,3196,2542,Casual Dining,Bangalore,2021
Restaurant_282,Yes,Yes,4.9,4030,1674,Quick Bites,Kolkata,2023
Restaurant_283,Yes,No,4.8,4364,2057,Fine Dining,Pune,2024
Restaurant_284,Yes,No,4.3,1155,3089,Fine Dining,Hyderabad,2019
Restaurant_285,Yes,No,2.2,4404,1259,Casual Dining,Hyderabad,2020
Restaurant_286,No,Yes,3.3,570,2122,Buffet,Delhi,2018
Restaurant_287,No,No,2.3,1922,3999,Café,Chennai,2022
Restaurant_288,Yes,No,2.0,1874,4792,Buffet,Delhi,2018
Restaurant_289,No,Yes,3.8,306,2673,Buffet,Pune,2025
Restaurant_290,No,Yes,4.9,2419,4339,Casual Dining,Kolkata,2018
Restaurant_291,Yes,Yes,4.7,2646,2051,Casual Dining,Kolkata,2020
Restaurant_292,Yes,Yes,4.1,1471,3741,Casual Dining,Chennai,2018
Restaurant_293,No,Yes,2.3,4302,4749,Quick Bites,Hyderabad,2019
Restaurant_294,Yes,No,2.8,2278,794,Buffet,Delhi,2019
Restaurant_295,Yes,No,3.0,1004,706,Fine Dining,Kolkata,2021
Restaurant_296,No,No,4.3,17,220,Café,Pune,2023
Restaurant_297,Yes,Yes,4.4,2601,1599,Quick Bites,Bangalore,2024
Restaurant_298,No,No,3.2,2525,3401,Fine Dining,Mumbai,2022
Restaurant_299,No,Yes,3.3,4425,2661,Buffet,Mumbai,2025
Restaurant_300,No,Yes,2.1,1427,3878,Casual Dining,Mumbai,2018
Restaurant_301,No,No,2.9,2326,536,Buffet,Hyderabad,2018
Restaurant_302,No,Yes,3.4,3942,1867,Café,Delhi,2020
Restaurant_303,Yes,Yes,2.4,1297,3776,Quick Bites,Chennai,2023
Restaurant_304,Yes,No,3.4,2854,1109,Quick Bites,Kolkata,2019
Restaurant_305,Yes,Yes,4.6,1128,475,Café,Bangalore,2022
Restaurant_306,Yes,Yes,3.7,562,1091,Fine Dining,Pune,2021
Restaurant_307,No,No,2.2,670,212,Fine Dining,Bangalore,2019
Restaurant_308,No,Yes,2.6,725,4257,Quick Bites,Pune,2025
Restaurant_309,Yes,Yes,3.4,3595,3225,Quick Bites,Hyderabad,2023
Restaurant_310,No,No,3.1,3771,1173,Casual Dining,Delhi,2025
Restaurant_311,Yes,No,3.1,2539,4470,Fine Dining,Mumbai,2024
Restaurant_312,Yes,No,3.6,3980,4170,Café,Delhi,2021
Restaurant_313,Yes,No,3.8,3417,1608,Fine Dining,Hyderabad,2024
Restaurant_314,No,Yes,4.4,1468,2143,Casual Dining,Chennai,2020
Restaurant_315,No,Yes,3.0,3277,2488,Quick Bites,Chennai,2025
Restaurant_316,No,No,4.4,864,746,Quick Bites,Hyderabad,2020
Restaurant_317,No,Yes,3.0,4770,1418,Casual Dining,Pune,2018
Restaurant_318,Yes,Yes,2.2,3547,1620,Café,Kolkata,2024
Restaurant_319,No,No,3.7,1907,1654,Quick Bites,Kolkata,2023
Restaurant_320,No,No,3.8,282,3577,Buffet,Pune,2025
Restaurant_321,No,Yes,4.8,4097,2972,Quick Bites,Chennai,2022
Restaurant_322,Yes,No,4.2,1282,4298,Buffet,Chennai,2021
Restaurant_323,Yes,No,4.8,4384,2938,Casual Dining,Chennai,2019
Restaurant_324,No,No,4.7,4029,3947,Casual Dining,Delhi,2023
Restaurant_325,No,Yes,3.8,825,2042,Quick Bites,Chennai,2023
Restaurant_326,No,No,3.6,4381,946,Fine Dining,Bangalore,2020
Restaurant_327,No,Yes,3.7,932,3016,Buffet,Mumbai,2024
Restaurant_328,Yes,Yes,4.9,4747,1071,Café,Chennai,2025
Restaurant_329,No,Yes,4.3,4610,694,Quick Bites,Pune,2025
Restaurant_330,No,No,2.3,4877,3644,Café,Mumbai,2018
Restaurant_331,No,No,4.3,1274,4923,Quick Bites,Delhi,2018
Restaurant_332,Yes,No,2.5,3734,1275,Fine Dining,Pune,2021
Restaurant_333,Yes,No,3.3,2797,4194,Fine Dining,Mumbai,2020
Restaurant_334,No,No,2.6,2732,4437,Fine Dining,Pune,2023
Restaurant_335,No,Yes,4.1,4233,245,Fine Dining,Delhi,2025
Restaurant_336,No,Yes,4.6,2560,3256,Casual Dining,Bangalore,2022
Restaurant_337,No,Yes,2.9,2959,2257,Casual Dining,Delhi,2020
Restaurant_338,No,No,2.2,1683,863,Buffet,Delhi,2021
Restaurant_339,Yes,Yes,2.9,4597,4868,Café,Pune,2021
Restaurant_340,Yes,Yes,4.0,3102,2229,Quick Bites,Hyderabad,2020
Restaurant_341,Yes,No,3.0,2848,2896,Quick Bites,Kolkata,2021
Restaurant_342,No,No,2.8,1676,839,Casual Dining,Chennai,2020
Restaurant_343,Yes,Yes,2.6,4521,2863,Quick Bites,Chennai,2019
Restaurant_344,Yes,Yes,3.5,2205,2945,Casual Dining,Bangalore,2020
Restaurant_345,Yes,No,2.8,1394,4602,Buffet,Bangalore,2024
Restaurant_346,No,No,4.2,4413,2795,Café,Chennai,2020
Restaurant_347,No,No,2.2,3964,3627,Buffet,Kolkata,2021
Restaurant_348,Yes,No,4.0,2909,594,Fine Dining,Chennai,2025
Restaurant_349,No,Yes,2.7,70,3797,Fine Dining,Hyderabad,2024
Restaurant_350,Yes,Yes,3.5,3957,2532,Fine Dining,Kolkata,2021
Restaurant_351,Yes,No,2.9,2300,529,Buffet,Bangalore,2018
Restaurant_352,Yes,Yes,4.2,482,2297,Quick Bites,Mumbai,2018
Restaurant_353,Yes,Yes,4.8,968,972,Café,Pune,2025
Restaurant_354,No,No,4.8,542,1845,Fine Dining,Hyderabad,2025
Restaurant_355,No,Yes,3.8,503,1932,Fine Dining,Hyderabad,2024
Restaurant_356,No,Yes,3.4,91,4673,Fine Dining,Bangalore,2019
Restaurant_357,No,Yes,4.5,4984,1987,Café,Bangalore,2025
Restaurant_358,Yes,No,4.0,2980,1823,Fine Dining,Delhi,2018
Restaurant_359,No,No,2.6,21,1199,Café,Hyderabad,2020
Restaurant_360,Yes,Yes,4.5,4554,2048,Fine Dining,Delhi,2021
Restaurant_361,No,No,3.3,771,1761,Buffet,Delhi,2018
Restaurant_362,No,No,2.6,3195,973,Buffet,Pune,2018
Restaurant_363,No,No,2.8,35,2003,Café,Delhi,2019
